source_id,target_id,target_type,target_name
S001,S021,System,Access Control / Badge System
S001,S002,System,Backup Generator System
S001,F005,Facility,Distribution Warehouse (Main)
S001,F006,Facility,Distribution Warehouse (Overflow)
S001,S017,System,ERP System
S001,S011,System,Email System (M365)
S001,S010,System,Fire Alarm & Suppression Control
S001,F008,Facility,Fleet Operations Hub
S001,S020,System,HVAC Control System
S001,F001,Facility,Headquarters Building
S001,F013,Facility,Loading Dock A
S001,F014,Facility,Loading Dock B
S001,F007,Facility,Maintenance Shop
S001,S009,System,Manufacturing Execution System (MES)
S001,F002,Facility,Operations Center / EOC
S001,F009,Facility,Primary Data Center
S001,F003,Facility,Production Plant A
S001,F004,Facility,Production Plant B
S001,S023,System,Public Address System
S001,S008,System,SCADA / Plant Control
S001,F011,Facility,Security Command Center
S001,F012,Facility,Training Center
S001,S003,System,Uninterruptible Power Supply (UPS)
S001,S022,System,Video Surveillance (CCTV)
S001,S013,System,VoIP Phone System
S001,S018,System,Warehouse Management System (WMS)
S001,F015,Facility,Wellness Clinic
S002,S010,System,Fire Alarm & Suppression Control
S002,S014,System,Mass Notification Platform
S002,F002,Facility,Operations Center / EOC
S002,F009,Facility,Primary Data Center
S002,F011,Facility,Security Command Center
S003,S004,System,Active Directory
S003,S005,System,Network Core Switching
S003,S008,System,SCADA / Plant Control
S005,S021,System,Access Control / Badge System
S005,S004,System,Active Directory
S005,S028,System,Backup & Recovery System
S005,S031,System,Customer Portal
S005,S026,System,Document Management System
S005,S017,System,ERP System
S005,S011,System,Email System (M365)
S005,S025,System,HRIS
S005,S030,System,Help Desk / Ticketing System
S005,S007,System,Internet Service (Backup ISP)
S005,S006,System,Internet Service (Primary ISP)
S005,S027,System,Network File Storage
S005,S019,System,Transportation Management System (TMS)
S005,S012,System,VPN
S005,S032,System,Vendor Portal
S005,S029,System,Video Conferencing Platform
S005,S022,System,Video Surveillance (CCTV)
S005,S034,System,Visitor Management System
S005,S013,System,VoIP Phone System
S005,S018,System,Warehouse Management System (WMS)
S005,S035,System,Wi-Fi (Guest)
S004,S028,System,Backup & Recovery System
S004,S026,System,Document Management System
S004,S017,System,ERP System
S004,S011,System,Email System (M365)
S004,S025,System,HRIS
S004,S030,System,Help Desk / Ticketing System
S004,S027,System,Network File Storage
S004,S033,System,Print Management Service
