ProcessID,Section,Order,Level,Text,Bold,Phase
1LS01,Process Name,1,0,Mass Notification & Alerting,N,
1LS01,Department,2,0,Emergency Management,N,
1LS01,Program Office,3,0,Emergency Mgmt,N,
1LS01,Operational Category,4,0,1-Life Safety,N,
1LS01,Priority within Category,5,0,1,N,
1LS01,Restoration Score,6,0,90,N,
1LS01,Description,1,0,"Mass Notification & Alerting is a life safety process owned by Emergency Management. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on.",N,
1LS01,Impacts,1,0,No directly mapped downstream impacts in this dataset.,N,
1LS01,Critical Questions,1,1,Who owns this asset and who is the on-call backup outside business hours?,N,
1LS01,Critical Questions,2,1,"What manual workaround exists if this asset is unavailable, and how long can it sustain operations?",N,
1LS01,Critical Questions,3,1,What is the documented recovery time objective (RTO) for this asset?,N,
1LS01,Critical Questions,4,1,"Which upstream dependencies, if degraded, would prevent recovery of this asset?",N,
1LS01,Critical Questions,5,1,Which downstream dependencies should be notified first when this asset goes down?,N,
1LS01,Critical Questions,6,1,"What vendor or external party is required for restoration, and how are they reached?",N,
1LS01,Critical Questions,7,1,"What data, configuration, or state would be lost if this asset failed catastrophically?",N,
1LS01,Critical Questions,8,1,When was the recovery procedure for this asset last tested or exercised?,N,
1LS01,Short-Term Operations,1,1,First 30 minutes,Y,First 30 minutes
1LS01,Short-Term Operations,2,2,Confirm scope of disruption and identify which Emergency Management resources are affected.,N,First 30 minutes
1LS01,Short-Term Operations,3,2,Notify the process owner and primary on-call contact.,N,First 30 minutes
1LS01,Short-Term Operations,4,2,Activate manual workarounds where they exist and are safe to use.,N,First 30 minutes
1LS01,Short-Term Operations,5,1,First 2 hours,Y,First 2 hours
1LS01,Short-Term Operations,6,2,Convene a stand-up of the affected team and operational leadership.,N,First 2 hours
1LS01,Short-Term Operations,7,2,Document the impact and which downstream items are blocked.,N,First 2 hours
1LS01,Short-Term Operations,8,2,Prioritize restoration actions in order of downstream cascade severity.,N,First 2 hours
1LS01,Short-Term Operations,9,1,First 24 hours,Y,First 24 hours
1LS01,Short-Term Operations,10,2,Run the restoration sequence; coordinate with upstream owners as required.,N,First 24 hours
1LS01,Short-Term Operations,11,2,Communicate status to leadership at agreed-upon intervals.,N,First 24 hours
1LS01,Short-Term Operations,12,2,Verify dependent processes resume cleanly as this one returns to service.,N,First 24 hours
1LS02,Process Name,1,0,Emergency Evacuation Coordination,N,
1LS02,Department,2,0,Emergency Management,N,
1LS02,Program Office,3,0,Emergency Mgmt,N,
1LS02,Operational Category,4,0,1-Life Safety,N,
1LS02,Priority within Category,5,0,2,N,
1LS02,Restoration Score,6,0,88,N,
1LS02,Description,1,0,"Emergency Evacuation Coordination is a life safety process owned by Emergency Management. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on.",N,
1LS02,Impacts,1,0,No directly mapped downstream impacts in this dataset.,N,
1LS02,Critical Questions,1,1,Who owns this asset and who is the on-call backup outside business hours?,N,
1LS02,Critical Questions,2,1,"What manual workaround exists if this asset is unavailable, and how long can it sustain operations?",N,
1LS02,Critical Questions,3,1,What is the documented recovery time objective (RTO) for this asset?,N,
1LS02,Critical Questions,4,1,"Which upstream dependencies, if degraded, would prevent recovery of this asset?",N,
1LS02,Critical Questions,5,1,Which downstream dependencies should be notified first when this asset goes down?,N,
1LS02,Critical Questions,6,1,"What vendor or external party is required for restoration, and how are they reached?",N,
1LS02,Critical Questions,7,1,"What data, configuration, or state would be lost if this asset failed catastrophically?",N,
1LS02,Critical Questions,8,1,When was the recovery procedure for this asset last tested or exercised?,N,
1LS02,Short-Term Operations,1,1,First 30 minutes,Y,First 30 minutes
1LS02,Short-Term Operations,2,2,Confirm scope of disruption and identify which Emergency Management resources are affected.,N,First 30 minutes
1LS02,Short-Term Operations,3,2,Notify the process owner and primary on-call contact.,N,First 30 minutes
1LS02,Short-Term Operations,4,2,Activate manual workarounds where they exist and are safe to use.,N,First 30 minutes
1LS02,Short-Term Operations,5,1,First 2 hours,Y,First 2 hours
1LS02,Short-Term Operations,6,2,Convene a stand-up of the affected team and operational leadership.,N,First 2 hours
1LS02,Short-Term Operations,7,2,Document the impact and which downstream items are blocked.,N,First 2 hours
1LS02,Short-Term Operations,8,2,Prioritize restoration actions in order of downstream cascade severity.,N,First 2 hours
1LS02,Short-Term Operations,9,1,First 24 hours,Y,First 24 hours
1LS02,Short-Term Operations,10,2,Run the restoration sequence; coordinate with upstream owners as required.,N,First 24 hours
1LS02,Short-Term Operations,11,2,Communicate status to leadership at agreed-upon intervals.,N,First 24 hours
1LS02,Short-Term Operations,12,2,Verify dependent processes resume cleanly as this one returns to service.,N,First 24 hours
1LS03,Process Name,1,0,Medical Emergency Response,N,
1LS03,Department,2,0,Human Resources,N,
1LS03,Program Office,3,0,HR / Wellness,N,
1LS03,Operational Category,4,0,1-Life Safety,N,
1LS03,Priority within Category,5,0,3,N,
1LS03,Restoration Score,6,0,87,N,
1LS03,Description,1,0,"Medical Emergency Response is a life safety process owned by Human Resources. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on.",N,
1LS03,Impacts,1,0,No directly mapped downstream impacts in this dataset.,N,
1LS03,Critical Questions,1,1,Who owns this asset and who is the on-call backup outside business hours?,N,
1LS03,Critical Questions,2,1,"What manual workaround exists if this asset is unavailable, and how long can it sustain operations?",N,
1LS03,Critical Questions,3,1,What is the documented recovery time objective (RTO) for this asset?,N,
1LS03,Critical Questions,4,1,"Which upstream dependencies, if degraded, would prevent recovery of this asset?",N,
1LS03,Critical Questions,5,1,Which downstream dependencies should be notified first when this asset goes down?,N,
1LS03,Critical Questions,6,1,"What vendor or external party is required for restoration, and how are they reached?",N,
1LS03,Critical Questions,7,1,"What data, configuration, or state would be lost if this asset failed catastrophically?",N,
1LS03,Critical Questions,8,1,When was the recovery procedure for this asset last tested or exercised?,N,
1LS03,Short-Term Operations,1,1,First 30 minutes,Y,First 30 minutes
1LS03,Short-Term Operations,2,2,Confirm scope of disruption and identify which Human Resources resources are affected.,N,First 30 minutes
1LS03,Short-Term Operations,3,2,Notify the process owner and primary on-call contact.,N,First 30 minutes
1LS03,Short-Term Operations,4,2,Activate manual workarounds where they exist and are safe to use.,N,First 30 minutes
1LS03,Short-Term Operations,5,1,First 2 hours,Y,First 2 hours
1LS03,Short-Term Operations,6,2,Convene a stand-up of the affected team and operational leadership.,N,First 2 hours
1LS03,Short-Term Operations,7,2,Document the impact and which downstream items are blocked.,N,First 2 hours
1LS03,Short-Term Operations,8,2,Prioritize restoration actions in order of downstream cascade severity.,N,First 2 hours
1LS03,Short-Term Operations,9,1,First 24 hours,Y,First 24 hours
1LS03,Short-Term Operations,10,2,Run the restoration sequence; coordinate with upstream owners as required.,N,First 24 hours
1LS03,Short-Term Operations,11,2,Communicate status to leadership at agreed-upon intervals.,N,First 24 hours
1LS03,Short-Term Operations,12,2,Verify dependent processes resume cleanly as this one returns to service.,N,First 24 hours
1LS04,Process Name,1,0,Fire Suppression Response,N,
1LS04,Department,2,0,Security,N,
1LS04,Program Office,3,0,Security,N,
1LS04,Operational Category,4,0,1-Life Safety,N,
1LS04,Priority within Category,5,0,4,N,
1LS04,Restoration Score,6,0,86,N,
1LS04,Description,1,0,"Fire Suppression Response is a life safety process owned by Security. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on.",N,
1LS04,Impacts,1,0,No directly mapped downstream impacts in this dataset.,N,
1LS04,Critical Questions,1,1,Who owns this asset and who is the on-call backup outside business hours?,N,
1LS04,Critical Questions,2,1,"What manual workaround exists if this asset is unavailable, and how long can it sustain operations?",N,
1LS04,Critical Questions,3,1,What is the documented recovery time objective (RTO) for this asset?,N,
1LS04,Critical Questions,4,1,"Which upstream dependencies, if degraded, would prevent recovery of this asset?",N,
1LS04,Critical Questions,5,1,Which downstream dependencies should be notified first when this asset goes down?,N,
1LS04,Critical Questions,6,1,"What vendor or external party is required for restoration, and how are they reached?",N,
1LS04,Critical Questions,7,1,"What data, configuration, or state would be lost if this asset failed catastrophically?",N,
1LS04,Critical Questions,8,1,When was the recovery procedure for this asset last tested or exercised?,N,
1LS04,Short-Term Operations,1,1,First 30 minutes,Y,First 30 minutes
1LS04,Short-Term Operations,2,2,Confirm scope of disruption and identify which Security resources are affected.,N,First 30 minutes
1LS04,Short-Term Operations,3,2,Notify the process owner and primary on-call contact.,N,First 30 minutes
1LS04,Short-Term Operations,4,2,Activate manual workarounds where they exist and are safe to use.,N,First 30 minutes
1LS04,Short-Term Operations,5,1,First 2 hours,Y,First 2 hours
1LS04,Short-Term Operations,6,2,Convene a stand-up of the affected team and operational leadership.,N,First 2 hours
1LS04,Short-Term Operations,7,2,Document the impact and which downstream items are blocked.,N,First 2 hours
1LS04,Short-Term Operations,8,2,Prioritize restoration actions in order of downstream cascade severity.,N,First 2 hours
1LS04,Short-Term Operations,9,1,First 24 hours,Y,First 24 hours
1LS04,Short-Term Operations,10,2,Run the restoration sequence; coordinate with upstream owners as required.,N,First 24 hours
1LS04,Short-Term Operations,11,2,Communicate status to leadership at agreed-upon intervals.,N,First 24 hours
1LS04,Short-Term Operations,12,2,Verify dependent processes resume cleanly as this one returns to service.,N,First 24 hours
1LS05,Process Name,1,0,Hazmat Response,N,
1LS05,Department,2,0,Emergency Management,N,
1LS05,Program Office,3,0,Emergency Mgmt,N,
1LS05,Operational Category,4,0,1-Life Safety,N,
1LS05,Priority within Category,5,0,5,N,
1LS05,Restoration Score,6,0,84,N,
1LS05,Description,1,0,"Hazmat Response is a life safety process owned by Emergency Management. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on.",N,
1LS05,Impacts,1,0,No directly mapped downstream impacts in this dataset.,N,
