id,type,name,dept,programOffice,opCategory,opCategoryNum,priority,address,lat,lng,direct,indirect,total,depth,upstreamCount,restorationScore,score,description
1LS01,Process,Mass Notification & Alerting,Emergency Management,Emergency Mgmt,Life Safety,1,1,,,,0,0,0,0,5,90,90,"Mass Notification & Alerting is a life safety process owned by Emergency Management. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
1LS02,Process,Emergency Evacuation Coordination,Emergency Management,Emergency Mgmt,Life Safety,1,2,,,,0,0,0,0,4,88,88,"Emergency Evacuation Coordination is a life safety process owned by Emergency Management. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
1LS03,Process,Medical Emergency Response,Human Resources,HR / Wellness,Life Safety,1,3,,,,0,0,0,0,3,87,87,"Medical Emergency Response is a life safety process owned by Human Resources. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
1LS04,Process,Fire Suppression Response,Security,Security,Life Safety,1,4,,,,0,0,0,0,3,86,86,"Fire Suppression Response is a life safety process owned by Security. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
1LS05,Process,Hazmat Response,Emergency Management,Emergency Mgmt,Life Safety,1,5,,,,0,0,0,0,4,84,84,"Hazmat Response is a life safety process owned by Emergency Management. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO01,Process,Production Operations,Operations,Operations,Critical Operations,2,1,,,,0,0,0,0,6,70,70,"Production Operations is a critical operations process owned by Operations. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO02,Process,Damage Assessment,Engineering & Maintenance,Engineering,Critical Operations,2,2,,,,2,1,3,2,1,73,73,"Damage Assessment is a critical operations process owned by Engineering & Maintenance. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO03,Process,Plant Restart Sequencing,Operations,Operations,Critical Operations,2,3,,,,1,0,1,1,3,69,69,"Plant Restart Sequencing is a critical operations process owned by Operations. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO04,Process,Quality Control & Inspection,Operations,Operations,Critical Operations,2,4,,,,0,0,0,0,4,66,66,"Quality Control & Inspection is a critical operations process owned by Operations. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO05,Process,Shipping & Receiving,Supply Chain,Supply Chain,Critical Operations,2,5,,,,1,0,1,1,7,66,66,"Shipping & Receiving is a critical operations process owned by Supply Chain. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO06,Process,Equipment Maintenance Operations,Engineering & Maintenance,Engineering,Critical Operations,2,6,,,,0,0,0,0,3,62,62,"Equipment Maintenance Operations is a critical operations process owned by Engineering & Maintenance. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO07,Process,Security Operations,Security,Security,Critical Operations,2,7,,,,0,0,0,0,4,61,61,"Security Operations is a critical operations process owned by Security. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO08,Process,Customer Order Fulfillment,Operations,Operations,Critical Operations,2,8,,,,0,0,0,0,5,60,60,"Customer Order Fulfillment is a critical operations process owned by Operations. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO09,Process,Supply Chain Coordination,Supply Chain,Supply Chain,Critical Operations,2,9,,,,1,0,1,1,4,60,60,"Supply Chain Coordination is a critical operations process owned by Supply Chain. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
2CO10,Process,Inbound Logistics,Supply Chain,Supply Chain,Critical Operations,2,10,,,,1,1,2,2,2,60,60,"Inbound Logistics is a critical operations process owned by Supply Chain. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
3CA01,Process,Payroll Processing,Finance,Finance,Critical Admin,3,1,,,,0,0,0,0,5,45,45,"Payroll Processing is a critical admin process owned by Finance. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
